Date,Task Name,Status,Category,Due Date,Needs Mayank,Mayank Input Needed,Priority
2026-04-22,Review + edit pillar page draft (3200 words),In progress,Content Review,2026-04-14,No,,ACTIVE
2026-04-22,Day 1 (Apr 6) — Manual Wix fixes: Product schema on 6 pod pages,Not started,Schema Markup,2026-04-06,No,,PIPELINE
2026-04-22,Day 1 (Apr 6) — Manual Wix fixes: robots.txt + H1 + FAQPage schema,Not started,Technical SEO,2026-04-06,No,,PIPELINE
2026-04-22,Day 1 (Apr 6) — Manual Wix fixes: 9 meta descriptions + legal H1s,Not started,On-Page SEO,2026-04-06,No,,PIPELINE
2026-04-22,Day 3 (Apr 8) — Cowork: Auto-write Event Pod Rental Cost pricing page (1500 words),Not started,Content Writing,2026-04-08,No,,PIPELINE
2026-04-22,Download SEO ecosystem package + install on local machine,Not started,Infrastructure,2026-04-09,No,,PIPELINE
2026-04-22,Install crontab for automated daily/weekly monitoring,Not started,Infrastructure,2026-04-10,No,,PIPELINE
2026-04-22,Day 5 (Apr 10) — Cowork: Auto-write IoT Pods Lead Capture blog (1200 words),Not started,Content Writing,2026-04-10,No,,PIPELINE
2026-04-22,Publish pillar page to Wix at /event-pod-rental,Not started,Content Publishing,2026-04-14,No,,PIPELINE
2026-04-22,Write 2 city pages (Las Vegas + SF Bay Area),Not started,Content Writing,2026-04-15,No,,PIPELINE
2026-04-22,Write + publish AIEO page: What Is an Event Pod?,Not started,Content Writing,2026-04-15,No,,PIPELINE
2026-04-22,Write + publish pricing page: Event Pod Rental Cost,Not started,Content Writing,2026-04-19,No,,PIPELINE
2026-04-22,Image alt text — case studies + remaining (397 images),Not started,On-Page SEO,2026-04-20,No,,PIPELINE
2026-04-22,Forward /event-pod-rental page v2 draft to Mayank for review + approval,Not started,Content Review,2026-04-21,Yes,Approve the /event-pod-rental v2 page so it can be published to Wix. Gmail draft already saved — just needs to be sent.,CRITICAL
2026-04-22,Fix 3 Wix homepage issues BEFORE any publish (schema cities /home canonical title tag),Not started,Technical SEO,2026-04-21,No,,PIPELINE
2026-04-22,Review + approve SF Bay Area city page in Notion → then publish to Wix,Not started,Content Review,2026-04-22,No,,PIPELINE
2026-04-22,Review + approve New York city page in Notion → then publish to Wix,Not started,Content Review,2026-04-22,No,,PIPELINE
2026-04-22,Review + approve Orlando city page in Notion → then publish to Wix,Not started,Content Review,2026-04-22,No,,PIPELINE
2026-04-22,Review + approve Las Vegas city page in Notion → then publish to Wix,Not started,Content Review,2026-04-22,No,,PIPELINE
2026-04-22,Write: ZenSpace vs Nook comparison page (1400 words),Not started,Content Writing,2026-04-23,No,,PIPELINE
2026-04-22,Write: SmartPods vs Traditional Trade Show Booths blog (1400 words),Not started,Content Writing,2026-04-26,No,,PIPELINE
2026-04-22,Write 3 blog posts (SmartPods vs Booths IoT Lead Capture What to Expect),Not started,Content Writing,2026-04-26,No,,PIPELINE
2026-04-22,Write: How Event Sponsors Generate Revenue from Meeting Pods blog (1400 words),Not started,Content Writing,2026-04-28,No,,PIPELINE
